Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Theme,Year
Mahali Mzuri,Masai Mara,Kenya,Africa,Virgin Limited Edition,99.73,1,12,Safari,2013
Nayara Tented Group,Arenal Volcano National Park,Costa Rica,Latin America,Nayara Resorts,99.58,2,29,Nature,2019
The Opposite House,Beijing,China,Asia,Swire Properties,99.47,3,99,Contemporary ,2009
Capella Bangkok,Bangkok,Thailand,Southeast Asia,Pontiac Land Group,99.38,4,101,Contemporary ,2020
Capella Ubud,Bali,Indonesia,Southeast Asia,Pontiac Land Group,99.34,5,23,Nature,2018
Grace Hotel,Santorini,Greece,Europe,Auberge Resorts Collection,99.18,6,139,Coastal,2008
Kamalame Cay,Andros Island,Bahamas,Caribbean,David and Michael King-Hew,99.14,7,22,Island,1996
The Oberoi Udaivilas,Udaipur,India,Southeast Asia,The Oberoi Group,99.12,8,87,Palace,2007
The Temple House,Chengdu,China,Asia,Swire Properties,98.94,9,142,Contemporary ,2003
The Oberoi New Delhi,New Delhi,India,Southeast Asia,The Oberoi Group,98.9,10,220,Contemporary ,1965
Hotel Paracas,Paracas,Peru,Latin America,Marriott International,98.77,11,120,Coastal,1944
Taj Holiday Village Resort & Spa,Goa,India,Southeast Asia,India Hotels Company Limited,98.76,12,142,Coastal,1978
"Savute Elephant Lodge, A Belmond Safari",Chobe National Park,Botswana,Africa,LVMH,98.75,13,12,Safari,1992
The Oberoi Vanyavilas Wildlife Resort,Ranthambhore,India,Southeast Asia,The Oberoi Group,98.72,14,25,Nature,2001
Mandarin Oriental Milan,Milan,Italy,Europe,Jardine Matheson,98.67,15,104,Contemporary ,2015
La Reserve Paris,Paris,France,Europe,Michel Reybier Hospitality Group,98.6,16,40,Contemporary ,2015
Nobu Ryokan,Malibu,United States,North America," Chef Nobu, Robert De Niro, Meir Teper and Larry Ellison",98.59,17,16,Coastal,2017
Soneva Fushi,Baa Atoll,Maldives,Southeast Asia,Soneva,98.59,17,64,Island,1995
Shangri-La the Shard,London,England,Europe,Kerry Properties,98.57,19,202,Contemporary ,2014
Alila Manggis,Bali,Indonesia,Southeast Asia,Hyatt,98.5,20,55,Nature,2014
Phinda Vlei Lodge,KwaZulu Natal,South Africa,Africa,andBeyond,98.5,20,6,Safari,1996
Il Sereno Lago di Como,Torno,Italy,Europe,Sereno Hotels,98.5,20,40,Coastal,2016
Manoir Hovey,North Hatley,Canada,North America,Relais & Ch�teaux ,98.48,23,36,Coastal,1900
Canaves Oia Epitome ,Santorini,Greece,Europe,Yiannis and Anna Chaidemenos,98.44,24,24,Coastal,2018
Istanbul At Sultanahmet,Istanbul,Turkey,Middle East,Four Seasons,98.4,25,65,Palace,1996
The Peninsula Manila,Manila,Philippines,Southeast Asia,Hongkong and Shanghai Hotels Ltd.,98.4,25,469,Palace,1976
Hotel Il Pellicano,Porto Ercole,Italy,Europe,The Leading Hotels of the World Ltd.,98.32,27,47,Coastal,1965
Hotel Fasano Boa Vista,Porto Feliz,Brazil ,Latin America,The Leading Hotels of the World Ltd.,98.25,28,39,Nature,2003
Halekulani Okinawa,Okinawa,Japan,Asia,Mitsui Fudosan Group,98.21,29,360,Coastal,2019
The Lake House on Canandaigua,New York,United States,North America,The Sands Family,98.14,30,124,Nature,1962
Hyatt Regency Amritsar,Amritsar,India,Southeast Asia,Hyatt,98.14,31,248,Contemporary ,2008
Leela Palace Udaipur,Udaipur,India,Southeast Asia,Brookfield Asset Management,98.13,32,80,Palace,2009
Nayara Gardens,Arenal Volcano National Park,Costa Rica,Latin America,Nayara Resorts,98.13,33,50,Nature,2007
Pickering House Inn,Wolfeboro,United States,North America,Peter and Patty Cooke ,98.11,34,10,Contemporary ,2018
Rancho Valencia Resort & Spa,San Diego,United States,North America,Jacobs Family,98.03,35,49,Nature,1989
Nihi Sumba,Sumba,Indonesia,Southeast Asia,Christopher Burch,98,36,28,Coastal,2001
The Oberoi Mumbai,Mumbai,India,Southeast Asia,The Oberoi Group,98,36,337,Contemporary ,2004
Tierra Atacama Hotel & Spa,San Pedro de Atacama,Chile,Latin America,Tierra Hotels,98,36,32,Nature,2011
Viceroy Riviera Maya,Playa del Carmen,Mexico,Latin America,Viceroy Hotel Group ,97.92,39,41,Coastal,2006
St. Regis Istanbul,Istanbul,Turkey,Middle East,Marriott International,97.89,40,118,Contemporary ,2015
Katikies Mykonos,Mikonos ,Greece,Europe,Nikos Pagonis,97.87,41,36,Coastal,2018
The Lanesborough,London,England,Europe,Oetker Collection,97.87,41,93,Palace,1991
Mandarin Oriental Bangkok,Bangkok,Thailand,Southeast Asia,Jardine Matheson,97.87,41,331,Contemporary ,1876
The Roundtree,Amagansett,United States,North America,Sylvia Wong,97.87,41,10,Nature,2020
Mashpi Lodge,Quito,Ecuador,Latin America,Roque Sevilla,97.76,45,24,Nature,2012
Angama Mara,Mara Triangle,Kenya,Africa,Nicky and Steve Fitzgerald ,97.73,46,4,Safari,2015
Raffles Istanbul,Istanbul,Turkey,Middle East,Accor,97.72,47,136,Contemporary ,2014
Grand Hotel Excelsior Vittoria,Sorrento,Italy,Europe,Guido Fiorentino,97.71,48,79,Coastal,1834
Sumaq Machu Picchu Hotel,Aguas Calientes,Peru,Latin America,Clabe Andina,97.68,49,62,Nature,2007
Las Ventanas al Para�so,San Jos� del Cabo,Mexico,Latin America,Rosewood Hotel Group ,97.68,50,83,Coastal,1997
The Oberoi Rajvilas,Jaipur,India,Southeast Asia,The Oberoi Group,97.66,51,54,Palace,1997
Viceroy Chicago,Chicago,United States,North America,Viceroy Hotel Group ,97.66,51,180,Contemporary ,2017
Gibb's Farm,Karatu,Tanzania,Africa,Rick and Judi,97.63,53,21,Nature,1929
Singita Grumeti,Serengeti National Park,Tanzania,Africa,"Paul Tudor Jones, Luke Bailes",97.6,54,15,Safari,2013
Four Seasons Bangkok,Bangkok,Thailand,Southeast Asia,Four Seasons,97.59,55,299,Contemporary ,2020
